County,March,April,May,June,July,August,September
Adams County,23,25,26,94,236,261,209
Asotin County,1,17,1,3,4,30,80
Benton County,171,377,335,1091,1608,600,456
Chelan County,19,100,133,127,826,534,141
Clallam County,9,10,6,17,48,114,32
Clark County,147,208,198,397,999,735,864
Columbia County,1,0,0,7,5,1,0
Cowlitz County,18,42,17,132,254,97,137
Douglas County,8,74,93,92,583,302,38
Ferry County,1,0,0,0,19,7,3
Franklin County,51,335,316,1333,1389,590,377
Garfield County,0,0,0,0,3,1,8
Grant County,84,77,60,380,738,1034,641
Grays Harbor County,4,8,6,16,68,151,288
Island County,141,32,10,15,46,28,46
Jefferson County,26,3,2,7,15,17,2
King County,3171,3491,1824,2535,5099,3801,2897
Kitsap County,103,49,11,93,439,340,242
Kittitas County,11,11,11,11,11,11,11
Klickitat County,9,8,12,40,41,73,14
Lewis County,12,16,8,45,120,154,244
Lincoln County,1,1,0,2,13,15,27
Mason County,14,13,10,19,119,144,111
Okanogan County,5,19,30,89,700,231,14
Pacific County,0,4,5,8,25,18,28
Pend Oreille County,0,2,1,1,33,18,21
Pierce County,623,886,491,773,2543,1621,1276
San Juan County,7,7,1,4,9,1,0
Skagit County,156,189,93,107,288,204,85
Skamania County,1,2,0,4,47,4,7
Snohomish County,1431,1089,480,662,1536,1078,834
Spokane County,191,185,260,1018,2413,1364,1857
Stevens County,5,4,2,12,68,39,60
Thurston County,63,50,43,133,356,301,230
Wahkiakum County,1,1,2,2,0,1,0
Walla Walla County,8,78,26,78,282,299,158
Whatcom County,180,136,85,249,279,188,271
Whitman County,11,4,5,21,57,582,697
Yakima County,257,1112,2613,3910,2222,880,510
