County,March,April,May,June,July,August,September,March_umemployment,April_umemployment,May_umemployment,June_umemployment,July_umemployment,August_umemployment,Septembe_umemployment
Adams County,0.115097833,0.12510634,0.130110594,0.47039984,1.181003853,1.306110194,1.045889006,5.7,9.1,12.1,7.3,8.8,6.1,5.1
Asotin County,0.004428306,0.075281197,0.004428306,0.013284917,0.017713223,0.132849172,0.354264458,3.7,8.9,8.3,5.5,7.3,5.5,4.8
Benton County,0.083663584,0.184451294,0.163902344,0.533783453,0.786731249,0.293556436,0.223102892,5,13.7,12.2,9.4,10.5,8.2,6.4
Chelan County,0.024611399,0.129533679,0.172279793,0.164507772,1.069948187,0.691709845,0.182642487,5.2,16.2,14.5,9.9,10,8.1,6.1
Clallam County,0.011638282,0.012931425,0.007758855,0.021983422,0.062070838,0.147418241,0.041380559,5.9,18.8,16.5,10.6,11.9,9.5,8.4
Clark County,0.030108082,0.042601912,0.040553743,0.081312303,0.204612067,0.150540409,0.176961787,4.4,14.4,14.6,10.3,11.7,9.5,8.1
Columbia County,0.025094103,0,0,0.17565872,0.125470514,0.025094103,0,5.3,11.5,10.5,7.2,8.9,6.8,5.9
Cowlitz County,0.016275894,0.037977087,0.015371678,0.11935656,0.229670956,0.087708987,0.123877641,5.7,16.4,15.4,9.9,11.4,9.4,8.4
Douglas County,0.018420871,0.170393055,0.214142624,0.211840015,1.342420963,0.695387874,0.087499137,5.9,15.1,13.4,9.5,9.8,8.4,6.2
Ferry County,0.013111315,0,0,0,0.249114986,0.091779205,0.039333945,12.6,15.2,15.8,11,12.5,9.9,9.5
Franklin County,0.053559051,0.351809456,0.331856084,1.399886581,1.45869652,0.619604713,0.39591691,6.2,13.1,12.3,10,11.3,8.7,6.6
Garfield County,0,0,0,0,0.134831461,0.04494382,0.359550562,5.8,14.2,12.6,8.2,11.2,8,7.2
Grant County,0.085948451,0.07878608,0.061391751,0.388814423,0.755118537,1.057984509,0.65586854,7,12.6,12.7,9,11.2,8.6,6.9
Grays Harbor County,0.005328999,0.010657998,0.007993499,0.021315996,0.090592984,0.201169715,0.383687934,6.8,19.3,19.1,12.2,13.6,11.1,10
Island County,0.165607639,0.037584712,0.011745223,0.017617834,0.054028024,0.032886623,0.054028024,4.6,15.8,13.7,9,10.3,8.4,7.4
Jefferson County,0.080692716,0.009310698,0.006207132,0.021724962,0.04655349,0.052760622,0.006207132,5.3,17.4,15.9,10.6,10.9,8.7,7.8
King County,0.140759292,0.154963951,0.080966556,0.112527533,0.226342362,0.168724715,0.128596553,5.6,14.9,14.4,9.6,8.3,7.2,7
