Series ID,Year,Period,Label,Value
SMU53426600000000001,2019,M01,2019 Jan,2051.6
SMU53426600000000001,2019,M02,2019 Feb,2039.7
SMU53426600000000001,2019,M03,2019 Mar,2064.4
SMU53426600000000001,2019,M04,2019 Apr,2074.0
SMU53426600000000001,2019,M05,2019 May,2089.6
SMU53426600000000001,2019,M06,2019 Jun,2106.0
SMU53426600000000001,2019,M07,2019 Jul,2111.5
SMU53426600000000001,2019,M08,2019 Aug,2110.6
SMU53426600000000001,2019,M09,2019 Sep,2106.0
SMU53426600000000001,2019,M10,2019 Oct,2106.5
SMU53426600000000001,2019,M11,2019 Nov,2115.4
SMU53426600000000001,2019,M12,2019 Dec,2119.6
SMU53426600000000001,2020,M01,2020 Jan,2099.1
SMU53426600000000001,2020,M02,2020 Feb,2099.5
SMU53426600000000001,2020,M03,2020 Mar,2086.0
SMU53426600000000001,2020,M04,2020 Apr,1780.7
SMU53426600000000001,2020,M05,2020 May,1844.3
SMU53426600000000001,2020,M06,2020 Jun,1906.4
SMU53426600000000001,2020,M07,2020 Jul,1937.3
SMU53426600000000001,2020,M08,2020 Aug,1952.2
SMU53426600000000001,2020,M09,2020 Sep,1960.4
SMU53426600000000001,2020,M10,2020 Oct,1966.3
