Series ID,Year,Period,Label,Value
LAUCT536300000000004,2018,M01,2018 Jan,15258
LAUCT536300000000004,2018,M02,2018 Feb,14570
LAUCT536300000000004,2018,M03,2018 Mar,13822
LAUCT536300000000004,2018,M04,2018 Apr,11388
LAUCT536300000000004,2018,M05,2018 May,12411
LAUCT536300000000004,2018,M06,2018 Jun,13623
LAUCT536300000000004,2018,M07,2018 Jul,14080
LAUCT536300000000004,2018,M08,2018 Aug,13145
LAUCT536300000000004,2018,M09,2018 Sep,14012
LAUCT536300000000004,2018,M10,2018 Oct,13183
LAUCT536300000000004,2018,M11,2018 Nov,13168
LAUCT536300000000004,2018,M12,2018 Dec,13011
LAUCT536300000000004,2019,M01,2019 Jan,14598
LAUCT536300000000004,2019,M02,2019 Feb,12664
LAUCT536300000000004,2019,M03,2019 Mar,12843
LAUCT536300000000004,2019,M04,2019 Apr,10028
LAUCT536300000000004,2019,M05,2019 May,11479
LAUCT536300000000004,2019,M06,2019 Jun,12175
LAUCT536300000000004,2019,M07,2019 Jul,13317
LAUCT536300000000004,2019,M08,2019 Aug,11963
LAUCT536300000000004,2019,M09,2019 Sep,12130
LAUCT536300000000004,2019,M10,2019 Oct,11162
LAUCT536300000000004,2019,M11,2019 Nov,11007
LAUCT536300000000004,2019,M12,2019 Dec,10426
LAUCT536300000000004,2020,M01,2020 Jan,11658
LAUCT536300000000004,2020,M02,2020 Feb,10558
LAUCT536300000000004,2020,M03,2020 Mar,25100
LAUCT536300000000004,2020,M04,2020 Apr,62775
LAUCT536300000000004,2020,M05,2020 May,61214
LAUCT536300000000004,2020,M06,2020 Jun,42325
LAUCT536300000000004,2020,M07,2020 Jul,37601
LAUCT536300000000004,2020,M08,2020 Aug,32517
LAUCT536300000000004,2020,M09,2020 Sep,31069
