Series ID,Year,Period,Label,Value
APUS49D74714,2019,M01,2019 Jan,2.891
APUS49D74714,2019,M02,2019 Feb,2.806
APUS49D74714,2019,M03,2019 Mar,2.876
APUS49D74714,2019,M04,2019 Apr,3.295
APUS49D74714,2019,M05,2019 May,3.492
APUS49D74714,2019,M06,2019 Jun,3.357
APUS49D74714,2019,M07,2019 Jul,3.232
APUS49D74714,2019,M08,2019 Aug,3.117
APUS49D74714,2019,M09,2019 Sep,3.055
APUS49D74714,2019,M10,2019 Oct,3.199
APUS49D74714,2019,M11,2019 Nov,3.221
APUS49D74714,2019,M12,2019 Dec,3.013
APUS49D74714,2020,M01,2020 Jan,2.899
APUS49D74714,2020,M02,2020 Feb,2.886
APUS49D74714,2020,M03,2020 Mar,2.886
APUS49D74714,2020,M04,2020 Apr,2.399
APUS49D74714,2020,M05,2020 May,2.304
APUS49D74714,2020,M06,2020 Jun,2.400
APUS49D74714,2020,M07,2020 Jul,2.551
APUS49D74714,2020,M08,2020 Aug,2.602
APUS49D74714,2020,M09,2020 Sep,2.623
APUS49D74714,2020,M10,2020 Oct,2.560
