LAUS Code,State,County,County Name/State Abbr,Period,Labor,Employed,Unemployed,Rate
CN5300100000000,53.0,1.0,"Adams County, WA",Aug-19,11034,10588,446,4
CN5300300000000,53.0,3.0,"Asotin County, WA",Aug-19,10279,9881,398,3.9
CN5300500000000,53.0,5.0,"Benton County, WA",Aug-19,104121,99190,4931,4.7
CN5300700000000,53.0,7.0,"Chelan County, WA",Aug-19,47696,45644,2052,4.3
CN5300900000000,53.0,9.0,"Clallam County, WA",Aug-19,28959,27197,1762,6.1
CN5301100000000,53.0,11.0,"Clark County, WA",Aug-19,240864,229108,11756,4.9
CN5301300000000,53.0,13.0,"Columbia County, WA",Aug-19,1852,1765,87,4.7
CN5301500000000,53.0,15.0,"Cowlitz County, WA",Aug-19,47709,44864,2845,6
CN5301700000000,53.0,17.0,"Douglas County, WA",Aug-19,22419,21220,1199,5.3
CN5301900000000,53.0,19.0,"Ferry County, WA",Aug-19,2495,2254,241,9.7
CN5302100000000,53.0,21.0,"Franklin County, WA",Aug-19,45219,42870,2349,5.2
CN5302300000000,53.0,23.0,"Garfield County, WA",Aug-19,965,923,42,4.4
CN5302500000000,53.0,25.0,"Grant County, WA",Aug-19,49109,46309,2800,5.7
CN5302700000000,53.0,27.0,"Grays Harbor County, WA",Aug-19,28896,27014,1882,6.5
CN5302900000000,53.0,29.0,"Island County, WA",Aug-19,36015,34185,1830,5.1
CN5303100000000,53.0,31.0,"Jefferson County, WA",Aug-19,13091,12390,701,5.4
CN5303300000000,53.0,33.0,"King County, WA",Aug-19,1297538,1261969,35569,2.7
CN5303500000000,53.0,35.0,"Kitsap County, WA",Aug-19,128041,122293,5748,4.5
CN5303700000000,53.0,37.0,"Kittitas County, WA",Aug-19,21585,20438,1147,5.3
CN5303900000000,53.0,39.0,"Klickitat County, WA",Aug-19,10832,10288,544,5
CN5304100000000,53.0,41.0,"Lewis County, WA",Aug-19,35169,33107,2062,5.9
CN5304300000000,53.0,43.0,"Lincoln County, WA",Aug-19,5218,4996,222,4.3
CN5304500000000,53.0,45.0,"Mason County, WA",Aug-19,24984,23505,1479,5.9
CN5304700000000,53.0,47.0,"Okanogan County, WA",Aug-19,21803,20630,1173,5.4
CN5304900000000,53.0,49.0,"Pacific County, WA",Aug-19,8950,8406,544,6.1
CN5305100000000,53.0,51.0,"Pend Oreille County, WA",Aug-19,5059,4633,426,8.4
CN5305300000000,53.0,53.0,"Pierce County, WA",Aug-19,440461,418147,22314,5.1
CN5305500000000,53.0,55.0,"San Juan County, WA",Aug-19,9714,9427,287,3
CN5305700000000,53.0,57.0,"Skagit County, WA",Aug-19,63724,60373,3351,5.3
CN5305900000000,53.0,59.0,"Skamania County, WA",Aug-19,5545,5239,306,5.5
CN5306100000000,53.0,61.0,"Snohomish County, WA",Aug-19,442018,428834,13184,3
